Actor,Movie,Year of Release,Awards,Rotten Tomatoes Rating,Filmography Type
Scarlett Johansson,Titanic,2022,Oscar,56%,Series
Meryl Streep,Black Swan,1983,Golden Globe,43%,Movie
Leonardo DiCaprio,Ocean's Eleven,1990,Critics Choice,63%,Movie
Meryl Streep,Fences,2013,Critics Choice,40%,Movie
Brad Pitt,The Iron Lady,2004,Oscar,71%,Series
Sandra Bullock,The Devil Wears Prada,2005,No Awards,94%,Series
Sandra Bullock,Black Swan,1985,Screen Actors Guild,88%,Movie
Meryl Streep,La La Land,1981,BAFTA,65%,Movie
Natalie Portman,The Matrix,1995,No Awards,45%,Series
Sandra Bullock,The Wolf of Wall Street,1988,No Awards,82%,Movie
Morgan Freeman,The Departed,2002,No Awards,59%,Series
Morgan Freeman,Gravity,1980,Oscar,75%,Series
Natalie Portman,The Wolf of Wall Street,1989,Golden Globe,96%,Series
Leonardo DiCaprio,Pulp Fiction,2015,Golden Globe,97%,Movie
Brad Pitt,The Godfather Part II,1983,BAFTA,61%,Movie
Robert De Niro,Training Day,2022,BAFTA,44%,Series
Sandra Bullock,The Devil Wears Prada,1982,Critics Choice,41%,Movie
Meryl Streep,Ocean's Eleven,2019,Screen Actors Guild,88%,Series
Leonardo DiCaprio,La La Land,2018,Screen Actors Guild,82%,Movie
Sandra Bullock,Titanic,2003,Screen Actors Guild,81%,Movie
Denzel Washington,Titanic,1991,BAFTA,61%,Series
Brad Pitt,Pulp Fiction,2009,No Awards,86%,Series
Denzel Washington,Pulp Fiction,1996,BAFTA,90%,Movie
Scarlett Johansson,The Departed,1991,Screen Actors Guild,84%,Series
Morgan Freeman,Fences,1997,Golden Globe,40%,Movie
Natalie Portman,The Silence of the Lambs,1991,Critics Choice,60%,Movie
Tom Hanks,The Devil Wears Prada,1989,BAFTA,66%,Movie
Sandra Bullock,Ocean's Eleven,2022,BAFTA,62%,Series
Robert De Niro,The Iron Lady,1988,BAFTA,90%,Series
Meryl Streep,The Shawshank Redemption,1995,No Awards,81%,Series
Natalie Portman,Fight Club,2021,No Awards,61%,Movie
Natalie Portman,Titanic,2018,Oscar,46%,Series
Leonardo DiCaprio,The Silence of the Lambs,2007,BAFTA,76%,Movie
Morgan Freeman,La La Land,2001,No Awards,40%,Movie
Robert De Niro,The Silence of the Lambs,2003,Golden Globe,92%,Movie
Brad Pitt,Black Swan,2002,BAFTA,95%,Series
Sandra Bullock,The Iron Lady,2008,BAFTA,48%,Movie
Scarlett Johansson,Black Swan,2023,BAFTA,92%,Series
Brad Pitt,The Iron Lady,2002,Golden Globe,76%,Series
Robert De Niro,The Silence of the Lambs,2011,Screen Actors Guild,47%,Movie
Denzel Washington,Black Swan,1997,Screen Actors Guild,95%,Series
Natalie Portman,Gravity,1982,BAFTA,97%,Movie
Brad Pitt,The Matrix,2019,No Awards,91%,Movie
Denzel Washington,Forrest Gump,1993,Screen Actors Guild,54%,Series
Tom Hanks,Training Day,2018,Golden Globe,47%,Series
Leonardo DiCaprio,Lucy,2007,Oscar,73%,Movie
Leonardo DiCaprio,The Wolf of Wall Street,1982,Critics Choice,40%,Series
Tom Hanks,The Godfather Part II,2023,Golden Globe,61%,Series
Tom Hanks,The Matrix,1998,Oscar,66%,Movie
Brad Pitt,La La Land,1995,Golden Globe,72%,Movie
Meryl Streep,The Silence of the Lambs,1980,Critics Choice,45%,Series
Natalie Portman,The Wolf of Wall Street,2016,BAFTA,87%,Movie
Leonardo DiCaprio,Pulp Fiction,1985,BAFTA,40%,Movie
Scarlett Johansson,Titanic,1992,BAFTA,71%,Series
Leonardo DiCaprio,Forrest Gump,2007,Critics Choice,78%,Series
Natalie Portman,Lucy,2015,Oscar,66%,Series
Meryl Streep,The Matrix,2001,Screen Actors Guild,49%,Movie
Brad Pitt,Pulp Fiction,2017,Critics Choice,58%,Series
Scarlett Johansson,The Shawshank Redemption,2003,Critics Choice,60%,Series
Denzel Washington,Training Day,2021,Critics Choice,75%,Movie
Natalie Portman,La La Land,1995,Critics Choice,88%,Movie
Brad Pitt,La La Land,1985,Screen Actors Guild,83%,Series
Tom Hanks,The Devil Wears Prada,2006,Golden Globe,94%,Series
Scarlett Johansson,Lucy,1980,Critics Choice,59%,Movie
Leonardo DiCaprio,The Shawshank Redemption,1998,Critics Choice,40%,Series
Scarlett Johansson,The Silence of the Lambs,1986,BAFTA,69%,Series
Meryl Streep,The Godfather Part II,1990,BAFTA,84%,Movie
Denzel Washington,Titanic,2004,Golden Globe,70%,Movie
Scarlett Johansson,Ocean's Eleven,1988,Oscar,41%,Movie
Tom Hanks,Black Swan,2015,Screen Actors Guild,48%,Series
Tom Hanks,The Matrix,2019,BAFTA,64%,Series
Tom Hanks,The Departed,2023,BAFTA,65%,Series
Tom Hanks,La La Land,1982,Oscar,76%,Series
Robert De Niro,Black Swan,2006,Golden Globe,56%,Series
Morgan Freeman,Se7en,2014,Oscar,94%,Series
Brad Pitt,Se7en,2000,Critics Choice,94%,Movie
Denzel Washington,Training Day,2005,No Awards,98%,Movie
Brad Pitt,The Iron Lady,2000,BAFTA,99%,Movie
Brad Pitt,The Devil Wears Prada,2008,Critics Choice,83%,Movie
Brad Pitt,The Shawshank Redemption,1982,Critics Choice,76%,Series
Natalie Portman,La La Land,2007,No Awards,98%,Series
Tom Hanks,Training Day,2010,BAFTA,91%,Series
Tom Hanks,The Departed,2009,Oscar,95%,Series
Robert De Niro,Fences,2016,No Awards,73%,Series
Natalie Portman,The Iron Lady,1992,Screen Actors Guild,76%,Movie
Denzel Washington,Titanic,2005,Critics Choice,83%,Movie
Denzel Washington,The Departed,1995,BAFTA,48%,Series
Robert De Niro,Fences,2016,Critics Choice,42%,Series
Natalie Portman,The Silence of the Lambs,1996,No Awards,79%,Series
Natalie Portman,Gravity,1983,Oscar,96%,Series
Robert De Niro,Fight Club,1999,Golden Globe,82%,Series
Sandra Bullock,Gravity,1991,Golden Globe,82%,Movie
Denzel Washington,Se7en,1991,Critics Choice,78%,Movie
Natalie Portman,The Silence of the Lambs,2005,Critics Choice,74%,Movie
Natalie Portman,The Wolf of Wall Street,2012,Screen Actors Guild,51%,Movie
Tom Hanks,Ocean's Eleven,2010,Golden Globe,88%,Series
Denzel Washington,Forrest Gump,1998,Critics Choice,79%,Series
Sandra Bullock,Black Swan,1981,Critics Choice,50%,Series
Sandra Bullock,Forrest Gump,1996,Golden Globe,81%,Movie
Scarlett Johansson,Training Day,2019,Golden Globe,98%,Series
Natalie Portman,The Godfather Part II,1997,No Awards,72%,Series
Sandra Bullock,Se7en,1991,Golden Globe,69%,Movie
Scarlett Johansson,The Godfather Part II,1998,Screen Actors Guild,77%,Series
Leonardo DiCaprio,Pulp Fiction,2014,Screen Actors Guild,57%,Series
Robert De Niro,Titanic,1996,Oscar,72%,Movie
Leonardo DiCaprio,Lucy,2022,Golden Globe,75%,Movie
Meryl Streep,Titanic,2010,Screen Actors Guild,59%,Series
Brad Pitt,Forrest Gump,2006,Golden Globe,45%,Series
Brad Pitt,Se7en,2001,Golden Globe,86%,Movie
Tom Hanks,Black Swan,1995,Golden Globe,62%,Series
Leonardo DiCaprio,Black Swan,2018,Screen Actors Guild,46%,Series
Brad Pitt,The Iron Lady,2012,No Awards,45%,Movie
Sandra Bullock,The Iron Lady,2008,Golden Globe,49%,Series
Brad Pitt,The Shawshank Redemption,1980,Critics Choice,96%,Movie
Morgan Freeman,Gravity,2007,Oscar,58%,Movie
Sandra Bullock,The Godfather Part II,2023,Golden Globe,64%,Series
Tom Hanks,Fences,1981,Screen Actors Guild,93%,Movie
Meryl Streep,The Wolf of Wall Street,1999,Oscar,97%,Series
Morgan Freeman,The Devil Wears Prada,1992,Screen Actors Guild,90%,Series
Sandra Bullock,Forrest Gump,2022,Critics Choice,93%,Movie
Morgan Freeman,La La Land,1996,Critics Choice,78%,Movie
Scarlett Johansson,Ocean's Eleven,2011,Oscar,91%,Movie
Tom Hanks,Ocean's Eleven,2006,Oscar,93%,Movie
Robert De Niro,The Wolf of Wall Street,1998,Critics Choice,69%,Movie
Morgan Freeman,Ocean's Eleven,2017,Golden Globe,69%,Movie
Tom Hanks,Lucy,2020,Oscar,86%,Series
Natalie Portman,Fences,1992,Oscar,41%,Movie
Tom Hanks,Training Day,1994,BAFTA,90%,Movie
Robert De Niro,The Wolf of Wall Street,1986,BAFTA,70%,Series
Leonardo DiCaprio,Fences,1999,Critics Choice,40%,Movie
Tom Hanks,Forrest Gump,2005,BAFTA,48%,Movie
Leonardo DiCaprio,Forrest Gump,1996,Screen Actors Guild,77%,Movie
Morgan Freeman,Pulp Fiction,1998,Critics Choice,58%,Series
Sandra Bullock,Training Day,1985,Golden Globe,88%,Series
Morgan Freeman,Titanic,2012,Critics Choice,84%,Series
Scarlett Johansson,The Silence of the Lambs,2006,Screen Actors Guild,51%,Series
Brad Pitt,The Matrix,2023,Screen Actors Guild,96%,Series
Sandra Bullock,The Wolf of Wall Street,2018,No Awards,88%,Movie
Morgan Freeman,Fences,2006,Golden Globe,86%,Series
Leonardo DiCaprio,The Iron Lady,2018,Critics Choice,92%,Series
Tom Hanks,Fight Club,2017,Screen Actors Guild,81%,Series
Meryl Streep,Se7en,2010,Screen Actors Guild,58%,Movie
Scarlett Johansson,Forrest Gump,1984,Oscar,89%,Movie
Robert De Niro,The Devil Wears Prada,1986,Golden Globe,59%,Movie
Tom Hanks,The Silence of the Lambs,2007,Screen Actors Guild,100%,Movie
Morgan Freeman,Black Swan,2009,Golden Globe,89%,Series
Brad Pitt,The Departed,2012,Screen Actors Guild,78%,Series
Meryl Streep,Fight Club,1984,Screen Actors Guild,68%,Movie
Brad Pitt,Titanic,2017,No Awards,69%,Movie
Morgan Freeman,Titanic,2017,BAFTA,76%,Movie
Leonardo DiCaprio,Fences,1989,Critics Choice,53%,Series
Meryl Streep,Titanic,1980,Critics Choice,94%,Movie
Meryl Streep,The Silence of the Lambs,2020,Oscar,64%,Series
Denzel Washington,Fences,2011,No Awards,89%,Series
Morgan Freeman,Titanic,2020,Critics Choice,88%,Movie
Leonardo DiCaprio,Fences,1981,No Awards,97%,Series
Meryl Streep,Black Swan,2013,BAFTA,63%,Series
Tom Hanks,The Departed,2002,BAFTA,75%,Series
Leonardo DiCaprio,Se7en,2014,Critics Choice,86%,Movie
Scarlett Johansson,The Godfather Part II,1993,No Awards,69%,Series
Meryl Streep,Ocean's Eleven,2020,Critics Choice,80%,Series
Sandra Bullock,Se7en,2023,Critics Choice,61%,Movie
Brad Pitt,Training Day,2019,Oscar,99%,Series
Tom Hanks,Ocean's Eleven,2017,BAFTA,46%,Series
Tom Hanks,The Matrix,1980,BAFTA,59%,Series
Natalie Portman,Titanic,2005,No Awards,63%,Series
Robert De Niro,Training Day,1995,Oscar,48%,Series
Sandra Bullock,Titanic,1997,Screen Actors Guild,82%,Movie
Brad Pitt,The Godfather Part II,2007,Critics Choice,49%,Series
Leonardo DiCaprio,Gravity,2016,Oscar,63%,Movie
Morgan Freeman,The Shawshank Redemption,2005,Screen Actors Guild,55%,Movie
Leonardo DiCaprio,Titanic,1997,BAFTA,40%,Movie
Robert De Niro,The Iron Lady,1982,BAFTA,55%,Movie
Tom Hanks,Black Swan,2006,Critics Choice,94%,Series
Natalie Portman,The Departed,2004,Screen Actors Guild,96%,Movie
Sandra Bullock,The Devil Wears Prada,2005,Screen Actors Guild,69%,Movie
Tom Hanks,Forrest Gump,2001,Critics Choice,86%,Movie
Leonardo DiCaprio,The Wolf of Wall Street,2003,Critics Choice,48%,Series
Tom Hanks,The Iron Lady,2019,Critics Choice,88%,Movie
Brad Pitt,The Shawshank Redemption,1992,BAFTA,55%,Movie
Robert De Niro,The Departed,2023,Screen Actors Guild,61%,Movie
Meryl Streep,The Devil Wears Prada,1980,Screen Actors Guild,59%,Movie
Denzel Washington,Titanic,2004,Screen Actors Guild,57%,Series
